Date;Open;High;Low;Close;Volume;Market_Cap
2024-11-16;90947.97509443703;90947.97509443703;90947.97509443703;90947.97509443703;84382485697.84985;1799276211921.9302
2024-11-17;90606.45489380708;90606.45489380708;90606.45489380708;90606.45489380708;49255174407.368774;1790415769635.4927
2024-11-18;89841.47194135105;89841.47194135105;89841.47194135105;89841.47194135105;48556083101.64749;1776887033229.9082
2024-11-19;90534.62459650292;90534.62459650292;90534.62459650292;90534.62459650292;77391724184.19348;1790917617392.4407
2024-11-20;92251.65240738312;92251.65240738312;92251.65240738312;92251.65240738312;80493234958.49161;1825195454018.501
2024-11-21;94217.02229634205;94217.02229634205;94217.02229634205;94217.02229634205;80747272080.24826;1862618759426.145
2024-11-22;98509.11859102432;98509.11859102432;98509.11859102432;98509.11859102432;118163852022.3175;1948284556982.0486
2024-11-23;98927.49494553401;98927.49494553401;98927.49494553401;98927.49494553401;85746174563.98602;1958091000957.8345
2024-11-24;97679.46381643033;97679.46381643033;97679.46381643033;97679.46381643033;47414200206.70341;1931255637661.502
2024-11-25;98015.9355289458;98015.9355289458;98015.9355289458;98015.9355289458;50665680246.86775;1939446484727.4285
2024-11-26;93004.70093103287;93004.70093103287;93004.70093103287;93004.70093103287;89476321216.0935;1838788677873.8657
2024-11-27;91931.83077291827;91931.83077291827;91931.83077291827;91931.83077291827;97389239315.52954;1819990514406.0881
2024-11-28;95981.18057210564;95981.18057210564;95981.18057210564;95981.18057210564;81469353259.75;1899088665519.225
2024-11-29;95661.59595817851;95661.59595817851;95661.59595817851;95661.59595817851;49067932024.40325;1892297852304.72
2024-11-30;97453.2473451042;97453.2473451042;97453.2473451042;97453.2473451042;74670031635.5065;1926826079390.2441
2024-12-01;96513.14234698225;96513.14234698225;96513.14234698225;96513.14234698225;43580019720.720634;1910022814269.8855
2024-12-02;97311.70719084324;97311.70719084324;97311.70719084324;97311.70719084324;49147687432.565895;1925808416477.5068
2024-12-03;95833.1362300365;95833.1362300365;95833.1362300365;95833.1362300365;101019861361.49252;1896576914275.523
2024-12-04;96031.63097759831;96031.63097759831;96031.63097759831;96031.63097759831;87935752287.975;1900922167493.3643
2024-12-05;98881.4694561823;98881.4694561823;98881.4694561823;98881.4694561823;98230784298.0459;1957276192604.2603
2024-12-06;97201.50036407741;97201.50036407741;97201.50036407741;97201.50036407741;190460293531.53802;1920742551503.6094
2024-12-07;99973.85150659826;99973.85150659826;99973.85150659826;99973.85150659826;115812632020.44765;1978389972043.7947
2024-12-08;99781.82999198174;99781.82999198174;99781.82999198174;99781.82999198174;61061136199.7846;1974739091620.7542
2024-12-09;101235.3717025316;101235.3717025316;101235.3717025316;101235.3717025316;62677764785.05408;2003238967638.8286
2024-12-10;97353.94700820887;97353.94700820887;97353.94700820887;97353.94700820887;146846843211.51685;1926047690157.6282
2024-12-11;96649.71446771531;96649.71446771531;96649.71446771531;96649.71446771531;125835977742.51114;1913115778728.2837
2024-12-12;101123.61811033697;101123.61811033697;101123.61811033697;101123.61811033697;118484957960.76833;2001746436338.842
2024-12-13;100000.80836535197;100000.80836535197;100000.80836535197;100000.80836535197;100092043319.81221;1979166149963.3093
2024-12-14;101352.22971292294;101352.22971292294;101352.22971292294;101352.22971292294;78802903278.85962;2005406021235.8357
2024-12-15;101367.01064553364;101367.01064553364;101367.01064553364;101367.01064553364;57321924844.41535;2007646386698.8667
2024-12-16;104721.50151808978;104721.50151808978;104721.50151808978;104721.50151808978;70645074624.52869;2075487816560.1924
2024-12-17;106074.10723541168;106074.10723541168;106074.10723541168;106074.10723541168;115184737759.33566;2097460193710.789
2024-12-18;106034.913402645;106034.913402645;106034.913402645;106034.913402645;93417826250.1972;2100629850064.9119
2024-12-19;100355.5761481501;100355.5761481501;100355.5761481501;100355.5761481501;113692025885.44745;1985284833093.572
2024-12-20;97851.35377075805;97851.35377075805;97851.35377075805;97851.35377075805;100611554887.24123;1937022229972.2085
2024-12-21;97691.43431692653;97691.43431692653;97691.43431692653;97691.43431692653;112340864006.62827;1932373308116.0107
2024-12-22;97202.82496847633;97202.82496847633;97202.82496847633;97202.82496847633;53058382639.48845;1922768195068.165
2024-12-23;95094.27394862173;95094.27394862173;95094.27394862173;95094.27394862173;44619017105.36954;1884599149192.4587
2024-12-24;94644.91085464321;94644.91085464321;94644.91085464321;94644.91085464321;64937790292.61125;1874912975786.6604
2024-12-25;98695.71400782601;98695.71400782601;98695.71400782601;98695.71400782601;49169088282.15742;1951173788529.116
2024-12-26;99344.95417367229;99344.95417367229;99344.95417367229;99344.95417367229;33963749856.44743;1966481159354.1177
2024-12-27;95678.31244565405;95678.31244565405;95678.31244565405;95678.31244565405;45049342388.18843;1894744251986.1084
2024-12-28;94331.94727053077;94331.94727053077;94331.94727053077;94331.94727053077;41498540807.666954;1867708753554.924
2024-12-29;95184.61945288602;95184.61945288602;95184.61945288602;95184.61945288602;22429850903.940086;1885556552231.4314
2024-12-30;93663.44751964067;93663.44751964067;93663.44751964067;93663.44751964067;24065314499.502274;1854872605738.8086
2024-12-31;92627.28213113277;92627.28213113277;92627.28213113277;92627.28213113277;57595164139.4709;1833188187477.531
2025-01-01;93507.85874741491;93507.85874741491;93507.85874741491;93507.85874741491;45327464907.74362;1851839954625.13
2025-01-02;94384.1761153871;94384.1761153871;94384.1761153871;94384.1761153871;23275007789.496334;1869193319140.2422
2025-01-03;96852.14681235075;96852.14681235075;96852.14681235075;96852.14681235075;45157338602.617516;1917905016063.62
2025-01-04;98084.34279280754;98084.34279280754;98084.34279280754;98084.34279280754;35721645948.10051;1942834829349.9563
2025-01-05;98256.73876849933;98256.73876849933;98256.73876849933;98256.73876849933;20979035420.980793;1946611205641.351
2025-01-06;98364.58946599838;98364.58946599838;98364.58946599838;98364.58946599838;20060293834.7155;1948339898718.8586
2025-01-07;102229.39453189743;102229.39453189743;102229.39453189743;102229.39453189743;46111387334.46171;2024825178619.8228
2025-01-08;96952.09886774956;96952.09886774956;96952.09886774956;96952.09886774956;60610257147.15405;1919133187081.3127
2025-01-09;95016.71440989176;95016.71440989176;95016.71440989176;95016.71440989176;65790469838.34392;1885313354913.7239
2025-01-10;92376.27578346101;92376.27578346101;92376.27578346101;92376.27578346101;65850881574.76184;1832933628117.9436
2025-01-11;94736.6267420969;94736.6267420969;94736.6267420969;94736.6267420969;63433655716.757095;1876836759923.398
2025-01-12;94559.55167224213;94559.55167224213;94559.55167224213;94559.55167224213;17836423168.41627;1874286243377.8525
2025-01-13;94454.77089638807;94454.77089638807;94454.77089638807;94454.77089638807;19608932595.53299;1870314882306.9236
2025-01-14;94456.3493746993;94456.3493746993;94456.3493746993;94456.3493746993;76328330233.31137;1870609367804.8223
2025-01-15;96574.07768799194;96574.07768799194;96574.07768799194;96574.07768799194;51241728228.81719;1912603332624.1123
2025-01-16;100313.15239828422;100313.15239828422;100313.15239828422;100313.15239828422;57637319739.543396;1986831430651.8647
2025-01-17;100044.57926776377;100044.57926776377;100044.57926776377;100044.57926776377;50150102497.2729;1980935754458.284
2025-01-18;104160.69358484233;104160.69358484233;104160.69358484233;104160.69358484233;69135117732.00064;2063854663834.0774
2025-01-19;104334.61575724394;104334.61575724394;104334.61575724394;104334.61575724394;49416447749.13053;2067151195362.0425
2025-01-20;101275.33714814208;101275.33714814208;101275.33714814208;101275.33714814208;72970313683.92325;2014842808849.5005
2025-01-21;101764.90860170545;101764.90860170545;101764.90860170545;101764.90860170545;120158523166.88387;2017837068202.1384
2025-01-22;106182.2368201815;106182.2368201815;106182.2368201815;106182.2368201815;95344290057.8965;2098829000928.49
2025-01-23;103673.53509537787;103673.53509537787;103673.53509537787;103673.53509537787;55030669602.56557;2054288661793.9773
2025-01-24;104067.60991206947;104067.60991206947;104067.60991206947;104067.60991206947;102455227371.20761;2062360759045.0
2025-01-25;104835.19253555956;104835.19253555956;104835.19253555956;104835.19253555956;51418786362.7815;2076156720642.786
2025-01-26;104796.04077738234;104796.04077738234;104796.04077738234;104796.04077738234;22740744964.719296;2077647817531.3406
2025-01-27;102552.24874280207;102552.24874280207;102552.24874280207;102552.24874280207;20639818380.26942;2036324005947.406
2025-01-28;101958.46953745594;101958.46953745594;101958.46953745594;101958.46953745594;93191643783.24739;2019295541213.5288
2025-01-29;101313.11264498268;101313.11264498268;101313.11264498268;101313.11264498268;45780526813.56264;2007072201507.5273
2025-01-30;103718.97939813645;103718.97939813645;103718.97939813645;103718.97939813645;47425401641.53094;2056581551171.7
2025-01-31;104781.5135100103;104781.5135100103;104781.5135100103;104781.5135100103;42122570869.034325;2076760153260.6191
2025-02-01;102382.39409722165;102382.39409722165;102382.39409722165;102382.39409722165;37187819228.35328;2028504133577.489
2025-02-02;100674.78762544956;100674.78762544956;100674.78762544956;100674.78762544956;22827776122.48367;1996423711261.7268
2025-02-03;97568.31653024875;97568.31653024875;97568.31653024875;97568.31653024875;59784234332.21204;1933691439792.2544
2025-02-04;101466.8606657039;101466.8606657039;101466.8606657039;101466.8606657039;122163969235.23686;2011121374511.8835
2025-02-05;98118.43921664466;98118.43921664466;98118.43921664466;98118.43921664466;73196693057.98114;1943535291172.1597
2025-02-06;96582.88682919052;96582.88682919052;96582.88682919052;96582.88682919052;48848958931.79228;1912584628590.309
2025-02-07;96635.41875332211;96635.41875332211;96635.41875332211;96635.41875332211;44462180396.172516;1915093756057.5637
